"Status";"Gas Day Start";"Gas in storage (TWh)";"Full (%)";"Trend (%)";"Consumption (TWh)";"Stock/Cons (%)";"Injection (GWh/d)";"Withdrawal (GWh/d)";"Technical Capacity (TWh)";"Injection capacity (GWh/d)";"Withdrawal capacity (GWh/d)"
"C";"2024-12-16";"31.6485";"88.32";"-0.37";"380.61";"8.32";"0";"130.9";"35.8328";"143.34";"208.96"
"C";"2024-12-15";"31.7794";"88.69";"-0.31";"380.61";"8.35";"0";"111.5";"35.8328";"143.34";"208.96"
"C";"2024-12-14";"31.8909";"89";"-0.31";"380.61";"8.38";"0";"112.2";"35.8328";"143.34";"208.96"
"C";"2024-12-13";"32.0031";"89.31";"-0.32";"380.61";"8.41";"0";"113";"35.8328";"143.34";"208.96"
"C";"2024-12-12";"32.1161";"89.63";"-0.31";"380.61";"8.44";"0";"112.7";"35.8328";"143.34";"208.96"
"C";"2024-12-11";"32.2288";"89.94";"-0.32";"380.61";"8.47";"0";"113.7";"35.8328";"143.34";"208.96"
"C";"2024-12-10";"32.3425";"90.26";"-0.32";"380.61";"8.5";"0";"115.2";"35.8328";"143.34";"208.96"
"C";"2024-12-09";"32.4576";"90.58";"-0.32";"380.61";"8.53";"0";"115.4";"35.8328";"143.34";"208.96"
"C";"2024-12-08";"32.573";"90.9";"-0.31";"380.61";"8.56";"0";"110.7";"35.8328";"143.34";"208.96"
"C";"2024-12-07";"32.6837";"91.21";"-0.31";"380.61";"8.59";"0";"112.8";"35.8328";"143.34";"208.96"
"C";"2024-12-06";"32.7965";"91.53";"-0.32";"380.61";"8.62";"0";"115.1";"35.8328";"143.34";"208.96"
"C";"2024-12-05";"32.9115";"91.85";"-0.32";"380.61";"8.65";"0";"114.7";"35.8328";"143.34";"208.96"
"C";"2024-12-04";"33.0262";"92.17";"-0.25";"380.61";"8.68";"0";"89.4";"35.8328";"143.34";"208.96"
"C";"2024-12-03";"33.1158";"92.42";"-0.18";"380.61";"8.7";"0";"63.6";"35.8328";"143.34";"208.96"
"C";"2024-12-02";"33.1795";"92.6";"-0.33";"380.61";"8.72";"0";"117.3";"35.8328";"143.34";"208.96"
"C";"2024-12-01";"33.2967";"92.92";"-0.33";"380.61";"8.75";"0";"117.4";"35.8328";"143.34";"208.96"
"C";"2024-11-30";"33.4141";"93.25";"-0.33";"380.61";"8.78";"0";"117.8";"35.8328";"143.34";"208.96"
"C";"2024-11-29";"33.5319";"93.58";"-0.33";"380.61";"8.81";"0";"117";"35.8328";"143.34";"208.96"
"C";"2024-11-28";"33.649";"93.91";"-0.33";"380.61";"8.84";"0";"117.8";"35.8328";"143.34";"208.96"
"C";"2024-11-27";"33.7668";"94.23";"-0.33";"380.61";"8.87";"0";"118.8";"35.8328";"143.34";"208.96"
"C";"2024-11-26";"33.8856";"94.57";"-0.3";"380.61";"8.9";"0";"106.3";"35.8328";"143.34";"208.96"
"C";"2024-11-25";"33.9919";"94.86";"-0.15";"380.61";"8.93";"0";"53.6";"35.8328";"143.34";"208.96"
"C";"2024-11-24";"34.0455";"95.01";"-0.14";"380.61";"8.94";"0";"50.7";"35.8328";"143.34";"208.96"
"C";"2024-11-23";"34.0962";"95.15";"-0.24";"380.61";"8.96";"0";"84.5";"35.8328";"143.34";"208.96"
"C";"2024-11-22";"34.1807";"95.39";"-0.38";"380.61";"8.98";"0";"136.9";"35.8328";"143.34";"208.96"
"C";"2024-11-21";"34.3176";"95.77";"-0.22";"380.61";"9.02";"0";"77.4";"35.8328";"143.34";"208.96"
"C";"2024-11-20";"34.395";"95.99";"-0.28";"380.61";"9.04";"0";"99.5";"35.8328";"143.34";"208.96"
"C";"2024-11-19";"34.4945";"96.27";"-0.34";"380.61";"9.06";"0";"121.7";"35.8328";"143.34";"208.96"
"C";"2024-11-18";"34.6162";"96.6";"-0.34";"380.61";"9.09";"0";"123.3";"35.8328";"143.34";"208.96"